,grade,term,home_ownership,emp_length,safe_loans
157,B, 36 months,RENT,10+ years,-1
158,C, 36 months,MORTGAGE,10+ years,-1
159,A, 36 months,MORTGAGE,,1
160,B, 36 months,MORTGAGE,8 years,1
161,A, 36 months,OWN,4 years,1
162,E, 60 months,MORTGAGE,5 years,-1
163,B, 36 months,MORTGAGE,5 years,1
164,B, 60 months,MORTGAGE,2 years,1
165,B, 36 months,RENT,3 years,-1
166,C, 36 months,RENT,9 years,1
167,A, 36 months,OWN,< 1 year,-1
168,B, 36 months,MORTGAGE,1 year,1
169,C, 36 months,RENT,5 years,1
170,B, 36 months,MORTGAGE,1 year,1
171,A, 36 months,OWN,5 years,-1
172,A, 36 months,MORTGAGE,10+ years,1
173,B, 36 months,MORTGAGE,10+ years,1
174,B, 36 months,RENT,10+ years,-1
175,A, 36 months,MORTGAGE,1 year,1
176,B, 60 months,MORTGAGE,< 1 year,1
177,C, 60 months,MORTGAGE,1 year,1
178,F, 36 months,OWN,2 years,-1
179,B, 36 months,MORTGAGE,7 years,1
180,D, 60 months,RENT,4 years,1
181,D, 36 months,RENT,1 year,-1
182,B, 36 months,MORTGAGE,6 years,1
183,A, 36 months,RENT,4 years,1
184,D, 60 months,RENT,5 years,-1
185,B, 36 months,MORTGAGE,5 years,1
186,B, 36 months,MORTGAGE,6 years,1
187,B, 36 months,RENT,7 years,-1
188,A, 36 months,OWN,10+ years,1
189,C, 36 months,RENT,1 year,1
190,B, 36 months,RENT,10+ years,1
191,A, 36 months,RENT,10+ years,1
192,G, 36 months,MORTGAGE,< 1 year,-1
193,B, 60 months,MORTGAGE,10+ years,-1
194,A, 36 months,MORTGAGE,2 years,1
195,A, 36 months,RENT,10+ years,-1
196,B, 36 months,OWN,5 years,-1
197,D, 36 months,MORTGAGE,4 years,1
198,C, 60 months,MORTGAGE,10+ years,-1
199,C, 60 months,RENT,< 1 year,-1
200,B, 36 months,MORTGAGE,10+ years,1
201,C, 36 months,RENT,5 years,1
202,B, 36 months,MORTGAGE,3 years,1
203,D, 36 months,MORTGAGE,10+ years,1
204,C, 36 months,RENT,3 years,-1
205,B, 36 months,RENT,1 year,1
206,D, 36 months,RENT,8 years,-1
207,D, 36 months,MORTGAGE,4 years,-1
208,E, 60 months,MORTGAGE,2 years,1
209,B, 36 months,RENT,10+ years,1
210,A, 36 months,OWN,7 years,1
211,D, 36 months,MORTGAGE,5 years,1
212,F, 60 months,MORTGAGE,10+ years,-1
213,C, 36 months,MORTGAGE,10+ years,-1
214,A, 36 months,RENT,2 years,1
215,C, 36 months,RENT,3 years,1
216,G, 60 months,MORTGAGE,10+ years,-1
217,A, 36 months,MORTGAGE,< 1 year,1
218,A, 36 months,RENT,5 years,1
219,A, 36 months,MORTGAGE,10+ years,1
220,C, 60 months,RENT,5 years,-1
221,B, 36 months,MORTGAGE,7 years,-1
222,A, 36 months,MORTGAGE,10+ years,-1
223,C, 36 months,MORTGAGE,8 years,-1
224,E, 60 months,MORTGAGE,5 years,-1
225,C, 60 months,RENT,10+ years,-1
226,D, 36 months,RENT,< 1 year,1
227,C, 36 months,MORTGAGE,< 1 year,1
228,A, 36 months,RENT,1 year,1
229,A, 36 months,MORTGAGE,1 year,1
230,A, 36 months,OWN,3 years,-1
231,B, 36 months,OWN,10+ years,-1
232,C, 36 months,RENT,6 years,-1
233,F, 60 months,MORTGAGE,,-1
234,E, 36 months,RENT,2 years,-1
235,D, 36 months,RENT,1 year,-1
236,B, 36 months,MORTGAGE,10+ years,1
237,C, 36 months,RENT,5 years,1
238,D, 60 months,RENT,8 years,1
239,B, 36 months,MORTGAGE,< 1 year,1
240,A, 36 months,MORTGAGE,7 years,1
241,B, 36 months,RENT,3 years,1
242,D, 60 months,MORTGAGE,< 1 year,1
243,E, 60 months,MORTGAGE,10+ years,1
244,C, 36 months,RENT,1 year,-1
245,E, 60 months,MORTGAGE,3 years,-1
246,A, 36 months,MORTGAGE,,1
247,E, 60 months,MORTGAGE,10+ years,-1
248,B, 36 months,MORTGAGE,5 years,1
249,F, 60 months,RENT,3 years,-1
250,F, 60 months,RENT,2 years,-1
251,A, 36 months,RENT,< 1 year,1
252,G, 60 months,MORTGAGE,5 years,1
253,B, 36 months,MORTGAGE,4 years,1
254,D, 60 months,MORTGAGE,10+ years,-1
255,D, 36 months,RENT,1 year,-1
256,C, 36 months,MORTGAGE,10+ years,-1
257,D, 36 months,RENT,< 1 year,-1
258,A, 36 months,MORTGAGE,6 years,1
259,B, 36 months,MORTGAGE,7 years,1
260,C, 36 months,RENT,9 years,-1
261,A, 36 months,MORTGAGE,7 years,-1
262,E, 36 months,MORTGAGE,2 years,1
263,C, 36 months,MORTGAGE,< 1 year,-1
264,E, 60 months,RENT,< 1 year,1
265,B, 36 months,MORTGAGE,< 1 year,-1
266,B, 60 months,MORTGAGE,6 years,-1
267,D, 60 months,MORTGAGE,10+ years,-1
268,C, 36 months,RENT,< 1 year,-1
269,A, 36 months,OWN,5 years,-1
270,B, 36 months,RENT,2 years,-1
271,B, 60 months,MORTGAGE,10+ years,1
272,C, 36 months,MORTGAGE,6 years,-1
273,B, 36 months,RENT,10+ years,1
274,E, 60 months,OWN,3 years,-1
275,C, 60 months,RENT,5 years,-1
276,C, 60 months,MORTGAGE,< 1 year,1
277,D, 36 months,MORTGAGE,7 years,-1
278,C, 36 months,MORTGAGE,7 years,1
279,D, 36 months,MORTGAGE,10+ years,1
280,A, 60 months,RENT,1 year,-1
281,D, 60 months,MORTGAGE,2 years,-1
282,B, 60 months,MORTGAGE,3 years,-1
283,A, 36 months,MORTGAGE,10+ years,-1
284,D, 36 months,MORTGAGE,4 years,-1
285,B, 36 months,RENT,8 years,-1
286,B, 60 months,MORTGAGE,10+ years,-1
287,C, 36 months,MORTGAGE,,1
288,F, 36 months,MORTGAGE,5 years,-1
289,B, 36 months,RENT,4 years,1
290,C, 36 months,RENT,10+ years,-1
291,B, 60 months,RENT,3 years,-1
292,B, 36 months,MORTGAGE,5 years,-1
293,B, 36 months,RENT,7 years,1
294,B, 60 months,MORTGAGE,1 year,-1
295,B, 36 months,MORTGAGE,5 years,1
296,B, 36 months,RENT,1 year,-1
297,C, 36 months,RENT,6 years,-1
298,C, 36 months,RENT,8 years,1
299,E, 60 months,MORTGAGE,3 years,1
300,B, 36 months,MORTGAGE,10+ years,1
301,C, 36 months,RENT,2 years,1
302,C, 36 months,OWN,3 years,1
303,F, 60 months,RENT,10+ years,-1
304,D, 36 months,OWN,10+ years,1
305,C, 36 months,RENT,2 years,-1
306,D, 36 months,MORTGAGE,3 years,1
307,B, 36 months,RENT,2 years,-1
308,D, 60 months,OWN,< 1 year,1
309,C, 60 months,MORTGAGE,4 years,1
310,A, 36 months,MORTGAGE,5 years,-1
311,E, 36 months,RENT,< 1 year,-1
312,B, 60 months,OWN,< 1 year,-1
313,A, 36 months,RENT,10+ years,1
314,C, 60 months,MORTGAGE,2 years,1
315,F, 60 months,RENT,2 years,-1
316,B, 36 months,MORTGAGE,10+ years,-1
317,E, 60 months,RENT,9 years,-1
318,B, 36 months,RENT,2 years,1
319,D, 60 months,RENT,2 years,-1
320,D, 60 months,MORTGAGE,3 years,-1
321,A, 36 months,MORTGAGE,3 years,1
322,A, 36 months,MORTGAGE,9 years,-1
323,D, 60 months,MORTGAGE,3 years,-1
324,B, 36 months,MORTGAGE,2 years,-1
325,D, 60 months,MORTGAGE,10+ years,1
326,B, 36 months,RENT,6 years,-1
327,C, 36 months,RENT,6 years,-1
328,C, 36 months,RENT,10+ years,-1
329,C, 60 months,RENT,7 years,1
330,E, 60 months,OTHER,3 years,-1
331,A, 36 months,MORTGAGE,5 years,1
332,E, 36 months,RENT,4 years,-1
333,A, 36 months,MORTGAGE,10+ years,-1
334,B, 36 months,MORTGAGE,,1
335,B, 36 months,MORTGAGE,4 years,-1
336,F, 60 months,MORTGAGE,10+ years,1
337,E, 60 months,RENT,< 1 year,-1
338,C, 36 months,RENT,8 years,-1
339,D, 60 months,RENT,4 years,-1
340,D, 36 months,RENT,< 1 year,-1
341,D, 36 months,MORTGAGE,5 years,1
342,D, 36 months,MORTGAGE,10+ years,-1
343,A, 36 months,MORTGAGE,7 years,1
344,B, 36 months,RENT,,-1
345,C, 60 months,MORTGAGE,6 years,1
346,C, 60 months,MORTGAGE,10+ years,1
347,F, 60 months,MORTGAGE,8 years,-1
348,A, 36 months,MORTGAGE,10+ years,1
349,D, 60 months,RENT,1 year,-1
350,C, 36 months,RENT,< 1 year,-1
351,B, 36 months,OWN,,1
352,D, 36 months,MORTGAGE,< 1 year,-1
353,C, 36 months,MORTGAGE,< 1 year,-1
354,D, 36 months,MORTGAGE,1 year,1
355,D, 60 months,RENT,< 1 year,1
356,C, 36 months,MORTGAGE,4 years,1
357,C, 36 months,MORTGAGE,,-1
358,D, 36 months,OWN,5 years,-1
359,A, 36 months,RENT,3 years,1
360,C, 36 months,MORTGAGE,5 years,-1
361,B, 36 months,MORTGAGE,1 year,-1
362,D, 60 months,RENT,10+ years,-1
363,C, 36 months,MORTGAGE,9 years,-1
364,A, 36 months,OWN,,-1
365,A, 36 months,MORTGAGE,10+ years,-1
366,B, 36 months,MORTGAGE,3 years,-1
367,C, 60 months,MORTGAGE,6 years,-1
368,A, 36 months,MORTGAGE,4 years,1
369,B, 36 months,OWN,10+ years,1
370,E, 60 months,RENT,5 years,-1
371,E, 60 months,MORTGAGE,3 years,1
372,C, 36 months,OWN,10+ years,1
373,B, 36 months,OWN,10+ years,-1
374,C, 36 months,RENT,1 year,-1
375,E, 60 months,MORTGAGE,2 years,-1
376,E, 60 months,RENT,1 year,-1
377,C, 60 months,RENT,5 years,1
378,B, 60 months,RENT,9 years,-1
379,C, 36 months,MORTGAGE,,-1
380,C, 60 months,MORTGAGE,1 year,1
381,E, 60 months,RENT,6 years,-1
382,B, 36 months,MORTGAGE,10+ years,1
383,B, 36 months,MORTGAGE,9 years,-1
384,B, 36 months,MORTGAGE,< 1 year,-1
385,B, 36 months,OWN,2 years,1
386,D, 36 months,RENT,6 years,-1
387,B, 36 months,MORTGAGE,10+ years,1
388,A, 36 months,MORTGAGE,5 years,-1
389,F, 60 months,MORTGAGE,7 years,-1
390,A, 36 months,MORTGAGE,4 years,1
391,D, 60 months,RENT,,-1
392,C, 36 months,RENT,1 year,1
393,B, 60 months,RENT,6 years,-1
394,C, 36 months,RENT,,-1
395,G, 36 months,OWN,10+ years,-1
396,A, 36 months,MORTGAGE,7 years,-1
397,A, 36 months,MORTGAGE,2 years,-1
398,D, 36 months,RENT,6 years,-1
399,C, 36 months,RENT,3 years,1
400,B, 36 months,RENT,1 year,1
401,B, 36 months,RENT,< 1 year,1
402,D, 36 months,MORTGAGE,< 1 year,-1
403,C, 36 months,RENT,10+ years,-1
404,D, 36 months,MORTGAGE,9 years,-1
405,E, 60 months,MORTGAGE,2 years,1
406,D, 60 months,MORTGAGE,2 years,-1
407,E, 60 months,RENT,5 years,-1
408,G, 60 months,OWN,10+ years,-1
409,C, 36 months,MORTGAGE,2 years,1
410,F, 60 months,MORTGAGE,4 years,-1
411,D, 36 months,RENT,1 year,1
412,A, 36 months,MORTGAGE,10+ years,1
413,D, 36 months,MORTGAGE,10+ years,1
414,E, 60 months,RENT,1 year,-1
415,C, 36 months,MORTGAGE,3 years,1
416,C, 36 months,MORTGAGE,5 years,1
417,D, 36 months,RENT,< 1 year,1
418,B, 36 months,MORTGAGE,1 year,1
419,D, 36 months,RENT,10+ years,1
420,E, 60 months,MORTGAGE,7 years,-1
421,E, 36 months,RENT,1 year,-1
422,B, 36 months,OWN,9 years,-1
423,D, 36 months,RENT,10+ years,-1
424,C, 36 months,MORTGAGE,4 years,-1
425,C, 36 months,RENT,1 year,-1
426,C, 36 months,RENT,6 years,1
427,C, 36 months,RENT,4 years,-1
428,F, 60 months,MORTGAGE,2 years,-1
429,C, 36 months,MORTGAGE,5 years,1
430,C, 36 months,RENT,7 years,1
431,D, 36 months,MORTGAGE,4 years,1
432,C, 60 months,MORTGAGE,10+ years,-1
433,B, 36 months,MORTGAGE,10+ years,-1
434,B, 36 months,RENT,3 years,1
435,C, 36 months,RENT,4 years,1
436,A, 36 months,MORTGAGE,10+ years,1
437,B, 36 months,MORTGAGE,4 years,-1
438,A, 36 months,RENT,6 years,1
439,C, 36 months,MORTGAGE,10+ years,1
440,B, 36 months,MORTGAGE,< 1 year,1
441,B, 36 months,MORTGAGE,10+ years,1
442,B, 36 months,MORTGAGE,6 years,-1
443,D, 60 months,RENT,5 years,-1
444,C, 36 months,MORTGAGE,10+ years,1
445,A, 36 months,RENT,2 years,1
446,E, 60 months,MORTGAGE,9 years,1
447,C, 36 months,MORTGAGE,6 years,1
448,B, 36 months,MORTGAGE,10+ years,1
449,B, 36 months,RENT,10+ years,-1
450,C, 36 months,RENT,< 1 year,-1
451,D, 36 months,RENT,1 year,1
452,D, 60 months,MORTGAGE,2 years,-1
453,C, 60 months,MORTGAGE,1 year,-1
454,D, 36 months,MORTGAGE,,1
455,B, 36 months,MORTGAGE,9 years,1
456,A, 36 months,RENT,6 years,1
457,A, 36 months,OWN,10+ years,1
458,B, 36 months,MORTGAGE,10+ years,1
459,B, 36 months,RENT,3 years,1
460,D, 60 months,MORTGAGE,9 years,-1
461,A, 36 months,RENT,6 years,1
462,B, 36 months,MORTGAGE,,-1
463,B, 36 months,MORTGAGE,10+ years,1
464,E, 60 months,MORTGAGE,2 years,1
465,D, 36 months,RENT,5 years,1
466,B, 36 months,MORTGAGE,10+ years,1
467,B, 36 months,MORTGAGE,10+ years,-1
468,A, 36 months,RENT,3 years,1
469,B, 36 months,RENT,9 years,1
470,E, 60 months,RENT,1 year,-1
471,C, 60 months,RENT,8 years,-1
472,C, 60 months,MORTGAGE,8 years,-1
473,A, 36 months,RENT,,1
474,F, 60 months,MORTGAGE,10+ years,1
475,B, 36 months,RENT,< 1 year,1
476,D, 36 months,RENT,10+ years,-1
477,B, 36 months,RENT,7 years,-1
478,D, 36 months,RENT,3 years,-1
479,C, 36 months,RENT,6 years,1
480,C, 36 months,MORTGAGE,10+ years,-1
481,B, 36 months,MORTGAGE,5 years,1
482,D, 36 months,OWN,5 years,-1
483,B, 36 months,MORTGAGE,,-1
484,D, 36 months,RENT,7 years,1
485,C, 60 months,MORTGAGE,10+ years,-1
486,D, 36 months,RENT,4 years,-1
487,B, 60 months,MORTGAGE,6 years,1
488,C, 36 months,MORTGAGE,10+ years,-1
489,C, 36 months,MORTGAGE,10+ years,1
490,B, 36 months,RENT,< 1 year,-1
491,D, 60 months,MORTGAGE,,-1
492,D, 36 months,MORTGAGE,4 years,-1
493,B, 36 months,RENT,10+ years,-1
494,C, 36 months,MORTGAGE,2 years,1
495,A, 36 months,RENT,1 year,1
496,B, 36 months,MORTGAGE,,-1
497,B, 60 months,MORTGAGE,7 years,-1
498,B, 36 months,RENT,,-1
499,F, 60 months,MORTGAGE,6 years,-1
500,C, 60 months,MORTGAGE,5 years,-1
501,C, 36 months,RENT,6 years,-1
502,B, 36 months,RENT,7 years,1
503,B, 36 months,MORTGAGE,10+ years,1
504,C, 36 months,MORTGAGE,10+ years,1
505,D, 60 months,RENT,< 1 year,1
506,D, 60 months,RENT,10+ years,-1
507,C, 36 months,MORTGAGE,10+ years,1
508,B, 36 months,MORTGAGE,10+ years,1
509,A, 36 months,RENT,2 years,-1
510,B, 36 months,RENT,10+ years,-1
511,B, 36 months,MORTGAGE,10+ years,-1
512,A, 36 months,MORTGAGE,10+ years,1
513,B, 36 months,RENT,8 years,-1
514,D, 36 months,RENT,6 years,-1
515,A, 36 months,RENT,< 1 year,-1
516,C, 36 months,RENT,2 years,1
517,F, 60 months,OWN,8 years,-1
518,E, 36 months,MORTGAGE,4 years,1
519,B, 36 months,RENT,1 year,-1
520,F, 36 months,RENT,3 years,-1
521,F, 36 months,RENT,9 years,-1
522,C, 36 months,RENT,1 year,1
523,D, 60 months,MORTGAGE,10+ years,-1
524,C, 60 months,RENT,< 1 year,-1
525,A, 36 months,MORTGAGE,4 years,-1
526,B, 36 months,MORTGAGE,4 years,1
527,D, 36 months,RENT,4 years,1
528,C, 36 months,RENT,4 years,-1
529,B, 36 months,MORTGAGE,2 years,1
530,E, 60 months,RENT,5 years,-1
531,D, 36 months,MORTGAGE,,-1
532,B, 36 months,RENT,< 1 year,-1
533,B, 36 months,MORTGAGE,10+ years,1
534,C, 36 months,MORTGAGE,9 years,-1
535,C, 36 months,MORTGAGE,10+ years,1
536,B, 36 months,MORTGAGE,10+ years,1
537,C, 36 months,MORTGAGE,10+ years,1
538,B, 36 months,MORTGAGE,10+ years,1
539,B, 36 months,RENT,10+ years,1
540,E, 60 months,RENT,,-1
541,B, 36 months,RENT,8 years,1
542,D, 60 months,MORTGAGE,7 years,-1
543,B, 36 months,MORTGAGE,10+ years,1
544,B, 36 months,MORTGAGE,10+ years,1
545,C, 36 months,RENT,4 years,1
546,C, 36 months,RENT,1 year,1
547,B, 36 months,OWN,,1
548,B, 36 months,MORTGAGE,3 years,1
549,B, 36 months,RENT,10+ years,1
550,E, 60 months,RENT,5 years,-1
551,A, 36 months,RENT,2 years,-1
552,E, 36 months,RENT,< 1 year,1
553,D, 36 months,RENT,9 years,-1
554,D, 36 months,RENT,3 years,-1
555,B, 36 months,RENT,6 years,1
556,C, 36 months,MORTGAGE,7 years,1
557,D, 36 months,MORTGAGE,2 years,-1
558,A, 36 months,MORTGAGE,< 1 year,1
559,B, 36 months,MORTGAGE,9 years,1
560,B, 60 months,RENT,6 years,1
561,B, 36 months,RENT,5 years,1
562,C, 36 months,MORTGAGE,10+ years,-1
563,B, 36 months,RENT,3 years,-1
564,C, 36 months,RENT,2 years,-1
565,A, 36 months,RENT,2 years,-1
566,A, 36 months,MORTGAGE,10+ years,1
567,F, 60 months,MORTGAGE,6 years,1
568,B, 36 months,MORTGAGE,2 years,1
569,D, 36 months,RENT,1 year,-1
570,B, 36 months,RENT,4 years,1
571,B, 36 months,RENT,10+ years,1
572,F, 36 months,MORTGAGE,9 years,1
573,B, 36 months,RENT,5 years,-1
574,C, 60 months,OWN,10+ years,-1
575,B, 60 months,MORTGAGE,8 years,1
576,D, 60 months,MORTGAGE,10+ years,-1
577,E, 36 months,RENT,5 years,-1
578,B, 36 months,RENT,4 years,-1
579,B, 36 months,OWN,10+ years,1
580,D, 60 months,RENT,2 years,-1
581,B, 36 months,RENT,6 years,-1
582,C, 60 months,MORTGAGE,9 years,1
583,C, 36 months,MORTGAGE,< 1 year,-1
584,A, 36 months,MORTGAGE,10+ years,1
585,D, 60 months,RENT,5 years,-1
586,D, 36 months,MORTGAGE,10+ years,-1
587,D, 36 months,MORTGAGE,1 year,1
588,A, 36 months,MORTGAGE,8 years,1
589,A, 36 months,MORTGAGE,10+ years,1
590,D, 36 months,OWN,6 years,1
591,A, 36 months,RENT,< 1 year,1
592,C, 36 months,OWN,7 years,1
593,C, 36 months,MORTGAGE,10+ years,1
594,C, 60 months,MORTGAGE,< 1 year,-1
595,C, 36 months,RENT,10+ years,-1
596,B, 36 months,RENT,10+ years,-1
597,A, 36 months,MORTGAGE,10+ years,-1
598,C, 36 months,RENT,3 years,1
599,A, 36 months,MORTGAGE,10+ years,-1
600,C, 36 months,OWN,10+ years,-1
601,B, 36 months,RENT,10+ years,1
602,D, 36 months,MORTGAGE,< 1 year,-1
603,B, 36 months,MORTGAGE,< 1 year,1
604,B, 36 months,MORTGAGE,< 1 year,1
605,B, 36 months,MORTGAGE,4 years,1
606,A, 36 months,MORTGAGE,6 years,1
607,C, 36 months,RENT,7 years,1
608,C, 60 months,RENT,10+ years,-1
609,C, 36 months,RENT,,-1
610,C, 36 months,RENT,10+ years,-1
611,B, 36 months,RENT,10+ years,-1
612,A, 36 months,RENT,5 years,1
613,D, 36 months,MORTGAGE,4 years,1
614,B, 36 months,MORTGAGE,4 years,1
615,D, 36 months,RENT,10+ years,-1
616,G, 60 months,MORTGAGE,< 1 year,-1
617,C, 36 months,MORTGAGE,10+ years,1
618,B, 36 months,MORTGAGE,3 years,1
619,B, 36 months,RENT,10+ years,-1
620,F, 60 months,RENT,< 1 year,-1
621,C, 36 months,RENT,4 years,1
622,B, 36 months,MORTGAGE,10+ years,-1
623,C, 36 months,MORTGAGE,10+ years,-1
624,D, 60 months,MORTGAGE,9 years,1
625,A, 36 months,MORTGAGE,< 1 year,-1
626,B, 36 months,RENT,1 year,1
627,B, 36 months,MORTGAGE,7 years,-1
628,A, 36 months,MORTGAGE,5 years,-1
629,C, 36 months,RENT,10+ years,1
630,B, 36 months,MORTGAGE,6 years,1
631,D, 60 months,OWN,10+ years,-1
632,B, 36 months,OWN,10+ years,1
633,D, 36 months,RENT,2 years,1
634,C, 60 months,MORTGAGE,1 year,1
635,A, 36 months,RENT,3 years,1
636,E, 60 months,RENT,,-1
637,B, 60 months,RENT,10+ years,1
638,B, 36 months,MORTGAGE,< 1 year,-1
